X,Y,Z
2.505889591499020952e+01,6.356361023201612426e+01,7.403150658940430162e+01
4.423022377492442558e+01,5.028425107125251259e+01,3.028986058746292898e+01
-1.800980031331391373e+01,3.007846783122941758e+01,2.193811156161043385e+01
-2.777933116080494358e+01,-6.777594026533206417e+00,-1.190648068019138606e+01
3.370841188685881207e+01,-1.636332221587530711e+01,6.784829648673901659e+01
-1.447078900812868518e+01,-2.467034110528480184e+01,2.018842593007467556e+01
-2.854060687160096776e+01,2.662470589394510156e+01,7.207930471761849844e+01
5.523449126721155977e+01,3.731605909302368218e+01,1.821703732552492738e+01
1.328656499606973362e+01,-1.254967247855041279e+01,-2.552054442147564828e+01
6.357316076862367993e+01,7.022564859434367257e+00,4.709554056510880571e+01
6.182107790184429774e+01,-1.471223383178743305e+01,4.342198944385686588e+01
-4.346551324106911807e+01,6.862049115102836083e+01,3.813111501663166081e+01
-3.953347260120160911e+01,1.746115151075969862e+01,1.203233377759198364e+00
3.835075361535956517e+01,5.920186055527433666e+01,5.822133223625188947e+01
-1.932329404275514051e+01,6.761228434246694974e+01,1.981287699670027891e+01
3.170434166911473284e+01,4.716211535784531783e+00,9.021069367373284820e+01
4.454828505798086979e+01,-4.455160499334442648e+01,4.724010206581476723e+01
3.690487743819220512e+00,6.997687975936851501e+01,7.251162356902365325e+00
-4.547571235543622947e+01,-2.731553457863935463e+01,-1.088823605598806665e+01
-2.089954819089782490e+01,-4.337776546671966216e+00,8.889404060576653421e+01
3.908075646716309137e+01,-5.509882863516511264e+01,1.695020083208529726e+01
-2.910272267371684052e+01,1.461560842950778571e+01,-4.698780073608813446e+00
6.280217626127035935e-01,-3.578748028313284379e+01,1.207905519039857545e+01
4.118330750970192078e+00,-3.069434206324357817e+01,1.522609675635917448e+01
-4.053230937325767513e+01,7.071008479844500982e+01,5.253141275610598626e+01
5.595397233326164610e+01,-2.236213417448184870e+01,1.433407297969523242e+01
5.519808373156338632e+01,4.796427311369330937e+01,4.748639057695441323e+01
1.448650991729057935e+01,9.942078398035743003e-01,-5.596205876339030993e+00
-3.709659812623090147e+01,6.716584054385134550e+01,5.958580697429992057e+01
-2.847940317120138332e+01,2.607041989287868233e+01,8.220124757363613810e+01
